case_id,budget,method_id,paired_eligible,ineligibility_reason,source_terminal_status,comparator_terminal_status,delta_energy_hartree,delta_absolute_fci_error_hartree,source_parameter_count,comparator_parameter_count,reduction_parameter_count_percent,source_operators_blocks,comparator_operators_blocks,reduction_operators_blocks_percent,source_cnot_count,comparator_cnot_count,reduction_cnot_count_percent,source_cnot_depth,comparator_cnot_depth,reduction_cnot_depth_percent,source_total_depth,comparator_total_depth,reduction_total_depth_percent
h6-1.5,LOW,structural-magnitude-pruning,True,NA,COMPLETED,COMPLETED,6.22414706441532e-08,6.22414706441532e-08,137,136,0.7299270072992701,79,79,0.0,879,879,0.0,306,306,0.0,1595,1595,0.0
h6-1.5,LOW,v4.1-one-shot-joint-compression,False,comparator_not_completed,COMPLETED,CAP_REJECTED,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
h6-1.5,LOW,v5-fixed-source-whitelist-no-replenishment,False,comparator_not_completed,COMPLETED,CAP_REJECTED,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
h6-1.5,LOW,v5-sequential-with-rebuilding,False,comparator_not_completed,COMPLETED,CAP_REJECTED,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
h6-1.5,MEDIUM,same-structure-reoptimization,True,NA,COMPLETED,COMPLETED,0.0,0.0,137,137,0.0,79,79,0.0,879,879,0.0,306,306,0.0,1595,1595,0.0
h6-1.5,MEDIUM,structural-magnitude-pruning,True,NA,COMPLETED,COMPLETED,6.074728275962116e-07,6.074728275962116e-07,137,135,1.4598540145985401,79,79,0.0,879,879,0.0,306,306,0.0,1595,1592,0.18808777429467086
h6-1.5,MEDIUM,v4.1-one-shot-joint-compression,False,comparator_not_completed,COMPLETED,CAP_REJECTED,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
h6-1.5,MEDIUM,v5-fixed-source-whitelist-no-replenishment,True,NA,COMPLETED,COMPLETED,7.3971717640120005e-09,7.3971717640120005e-09,137,136,0.7299270072992701,79,79,0.0,879,875,0.4550625711035267,306,306,0.0,1595,1584,0.6896551724137931
h6-1.5,MEDIUM,v5-sequential-with-rebuilding,True,NA,COMPLETED,COMPLETED,7.3971717640120005e-09,7.3971717640120005e-09,137,136,0.7299270072992701,79,79,0.0,879,875,0.4550625711035267,306,306,0.0,1595,1584,0.6896551724137931
h6-1.5,HIGH,same-structure-reoptimization,True,NA,COMPLETED,COMPLETED,0.0,0.0,137,137,0.0,79,79,0.0,879,879,0.0,306,306,0.0,1595,1595,0.0
